ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
598004,Royal Challengers Bangalore,2,15,0,9.0
548319,Pune Warriors,1,115,10,19.0
548353,Kolkata Knight Riders,1,150,5,65.0
598000,Pune Warriors,2,104,10,12.4
548336,Royal Challengers Bangalore,1,189,3,98.4
598063,Rajasthan Royals,2,152,7,56.2
548367,Royal Challengers Bangalore,1,171,6,72.6
548357,Kolkata Knight Riders,2,154,4,72.4
501250,Pune Warriors,2,137,4,62.2
548342,Delhi Daredevils,1,207,5,99.2
419120,Deccan Chargers,1,171,6,72.6
501261,Chennai Super Kings,1,152,5,66.2
501261,Kochi Tuskers Kerala,2,141,5,59.6
597998,Delhi Daredevils,1,128,10,26.8
501244,Royal Challengers Bangalore,1,205,6,93.0
419138,Mumbai Indians,1,178,5,81.8
419138,Deccan Chargers,2,115,10,19.0
548381,Chennai Super Kings,1,190,3,99.0
548378,Delhi Daredevils,2,144,8,46.4
548350,Royal Challengers Bangalore,1,158,5,69.8
548373,Deccan Chargers,2,128,5,51.8
501234,Kolkata Knight Riders,2,120,2,62.0
548363,Mumbai Indians,1,182,1,104.2
598026,Rajasthan Royals,1,185,4,91.0
598034,Chennai Super Kings,1,200,3,105.0
419132,Mumbai Indians,2,164,6,68.4
548311,Deccan Chargers,2,119,10,21.4
1082629,Rising Pune Supergiant,2,167,5,75.2
1136577,Chennai Super Kings,1,204,5,97.4
1082634,Sunrisers Hyderabad,2,136,9,36.6
1178404,Chennai Super Kings,2,162,5,72.2
1136601,Kolkata Knight Riders,2,108,10,14.8
598051,Sunrisers Hyderabad,2,146,8,47.6
419145,Royal Challengers Bangalore,1,184,6,80.4
419123,Royal Challengers Bangalore,1,171,5,77.6
548334,Kings XI Punjab,2,164,4,78.4
548335,Kolkata Knight Riders,2,127,5,51.2
548371,Kings XI Punjab,2,123,4,53.8
548336,Rajasthan Royals,2,143,7,50.8
548310,Delhi Daredevils,2,137,7,47.2
598017,Delhi Daredevils,1,152,5,66.2
501242,Kochi Tuskers Kerala,1,156,5,68.6
548317,Mumbai Indians,1,197,6,88.2
598016,Kings XI Punjab,1,157,9,49.2
419154,Rajasthan Royals,1,130,6,48.0
501250,Deccan Chargers,1,136,8,41.6
548316,Delhi Daredevils,2,111,2,56.6
598053,Pune Warriors,2,106,10,13.6
598030,Chennai Super Kings,2,160,5,71.0
548333,Delhi Daredevils,2,172,7,68.2
548380,Chennai Super Kings,1,222,5,108.2
501243,Deccan Chargers,1,175,5,80.0
419130,Mumbai Indians,1,172,7,68.2
501257,Delhi Daredevils,2,141,8,44.6
598041,Chennai Super Kings,1,186,4,91.6
501246,Delhi Daredevils,2,146,10,37.6
598023,Royal Challengers Bangalore,2,123,3,58.8
1178414,Royal Challengers Bangalore,1,161,7,61.6
1178394,Sunrisers Hyderabad,2,96,10,7.6
1082644,Kolkata Knight Riders,2,164,8,58.4
598007,Chennai Super Kings,2,139,0,83.4
548353,Pune Warriors,2,143,8,45.8
501239,Kolkata Knight Riders,1,169,4,81.4
598046,Chennai Super Kings,2,79,10,-2.6
548376,Deccan Chargers,1,132,7,44.2
419163,Deccan Chargers,2,104,10,12.4
548354,Rajasthan Royals,1,177,6,76.2
548327,Pune Warriors,1,182,6,79.2
598055,Pune Warriors,1,112,8,27.2
501248,Pune Warriors,2,120,5,47.0
548315,Royal Challengers Bangalore,2,123,9,28.8
548323,Kings XI Punjab,1,134,9,35.4
419125,Chennai Super Kings,1,180,2,98.0
501247,Kochi Tuskers Kerala,1,125,9,30.0
501210,Kochi Tuskers Kerala,2,184,2,100.4
419137,Chennai Super Kings,1,246,5,122.6
548351,Mumbai Indians,1,120,9,27.0
501235,Pune Warriors,1,143,7,50.8
598050,Mumbai Indians,1,170,6,72.0
598057,Royal Challengers Bangalore,1,115,9,24.0
501238,Kochi Tuskers Kerala,2,141,3,69.6
419113,Kolkata Knight Riders,2,109,10,15.4
419155,Delhi Daredevils,2,113,4,47.8
598020,Chennai Super Kings,1,169,4,81.4
419140,Delhi Daredevils,1,184,5,85.4
548358,Rajasthan Royals,2,126,3,60.6
1082639,Kings XI Punjab,1,167,6,70.2
1136597,Kolkata Knight Riders,2,168,6,70.8
1178393,Kings XI Punjab,2,138,5,57.8
1178394,Mumbai Indians,1,136,7,46.6
598013,Kolkata Knight Riders,1,180,4,88.0
419144,Delhi Daredevils,2,167,8,60.2
501221,Chennai Super Kings,2,156,9,48.6
598052,Rajasthan Royals,2,147,2,78.2
501264,Deccan Chargers,1,198,2,108.8
501233,Delhi Daredevils,1,157,7,59.2
598017,Royal Challengers Bangalore,2,167,7,65.2
598056,Sunrisers Hyderabad,1,150,7,55.0
501265,Delhi Daredevils,1,56,3,18.6
598038,Chennai Super Kings,1,164,3,83.4
501256,Deccan Chargers,1,135,6,51.0
548362,Royal Challengers Bangalore,1,173,3,88.8
598003,Pune Warriors,1,99,9,14.4
598055,Mumbai Indians,2,116,5,44.6
419147,Chennai Super Kings,1,138,8,42.8
548318,Chennai Super Kings,2,208,5,99.8
501210,Mumbai Indians,1,182,2,99.2
419130,Deccan Chargers,2,131,10,28.6
419124,Rajasthan Royals,1,183,5,84.8
501253,Delhi Daredevils,2,158,6,64.8
548368,Kolkata Knight Riders,1,158,6,64.8
598039,Sunrisers Hyderabad,2,130,3,63.0
548349,Delhi Daredevils,2,144,4,66.4
419135,Deccan Chargers,2,157,5,69.2
501255,Kolkata Knight Riders,1,89,4,33.4
598018,Pune Warriors,2,108,10,14.8
501234,Kings XI Punjab,1,119,6,41.4
501231,Rajasthan Royals,2,95,3,42.0
419116,Delhi Daredevils,1,185,6,81.0
598028,Kings XI Punjab,1,171,4,82.6
1082649,Kolkata Knight Riders,1,107,10,14.2
1082629,Gujarat Lions,1,161,10,46.6
1136611,Sunrisers Hyderabad,2,204,3,107.4
1136571,Royal Challengers Bangalore,2,198,6,88.8
1082615,Sunrisers Hyderabad,1,176,3,90.6
548325,Delhi Daredevils,2,93,3,40.8
419119,Mumbai Indians,1,151,9,45.6
419119,Royal Challengers Bangalore,2,155,3,78.0
598013,Sunrisers Hyderabad,2,132,7,44.2
501271,Royal Challengers Bangalore,2,147,8,48.2
598016,Kolkata Knight Riders,2,153,9,46.8
419152,Mumbai Indians,1,183,4,89.8
598036,Royal Challengers Bangalore,1,171,6,72.6
501254,Kochi Tuskers Kerala,1,178,7,71.8
548360,Mumbai Indians,1,141,6,54.6
548360,Royal Challengers Bangalore,2,142,1,80.2
419151,Royal Challengers Bangalore,2,138,10,32.8
419147,Deccan Chargers,2,139,4,63.4
548314,Mumbai Indians,2,142,5,60.2
419120,Delhi Daredevils,2,161,9,51.6
548333,Pune Warriors,1,192,3,100.2
598048,Sunrisers Hyderabad,1,161,6,66.6
501232,Royal Challengers Bangalore,1,181,5,83.6
501232,Pune Warriors,2,155,5,68.0
548309,Kings XI Punjab,2,160,9,51.0
598014,Rajasthan Royals,2,126,4,55.6
548350,Kings XI Punjab,2,163,6,67.8
419131,Kolkata Knight Riders,2,137,9,37.2
598065,Sunrisers Hyderabad,1,136,9,36.6
598002,Chennai Super Kings,2,139,9,38.4
598019,Rajasthan Royals,1,179,3,92.4
598029,Mumbai Indians,2,162,5,72.2
419121,Chennai Super Kings,2,145,9,42.0
597999,Mumbai Indians,2,154,5,67.4
501218,Pune Warriors,1,118,10,20.8
1082630,Sunrisers Hyderabad,1,185,3,96.0
1136595,Royal Challengers Bangalore,1,127,9,31.2
1136595,Chennai Super Kings,2,128,4,56.8
1178430,Chennai Super Kings,1,170,5,77.0
1175357,Kolkata Knight Riders,2,183,4,89.8
548379,Mumbai Indians,2,149,9,44.4
419149,Kings XI Punjab,2,112,3,52.2
598044,Delhi Daredevils,1,80,10,-2.0
598000,Sunrisers Hyderabad,1,126,6,45.6
501201,Delhi Daredevils,1,95,10,7.0
598036,Rajasthan Royals,2,173,6,73.8
598045,Royal Challengers Bangalore,1,174,5,79.4
548345,Delhi Daredevils,1,152,6,61.2
598022,Kolkata Knight Riders,1,119,9,26.4
419165,Mumbai Indians,2,146,9,42.6
501223,Delhi Daredevils,1,231,4,118.6
598035,Delhi Daredevils,1,164,5,73.4
548308,Pune Warriors,1,129,9,32.4
419106,Deccan Chargers,2,150,7,55.0
548381,Kolkata Knight Riders,2,192,5,90.2
598039,Mumbai Indians,1,129,4,57.4
598068,Chennai Super Kings,2,82,6,19.2
419143,Kings XI Punjab,1,153,6,61.8
419135,Kolkata Knight Riders,1,181,6,78.6
419112,Royal Challengers Bangalore,2,204,2,112.4
598072,Mumbai Indians,2,169,6,71.4
548306,Chennai Super Kings,1,112,10,17.2
419116,Chennai Super Kings,2,190,5,89.0
419132,Kings XI Punjab,1,163,10,47.8
598023,Rajasthan Royals,1,117,10,20.2
419140,Royal Challengers Bangalore,2,147,9,43.2
501259,Deccan Chargers,2,138,4,62.8
1082649,Mumbai Indians,2,111,4,46.6
1136574,Royal Challengers Bangalore,2,167,8,60.2
1082634,Rising Pune Supergiant,1,148,8,48.8
548335,Deccan Chargers,1,126,7,40.6
548369,Delhi Daredevils,2,140,5,59.0
598009,Rajasthan Royals,1,145,5,62.0
501242,Kolkata Knight Riders,2,139,7,48.4
598056,Kings XI Punjab,2,120,9,27.0
501208,Deccan Chargers,1,175,5,80.0
501208,Royal Challengers Bangalore,2,142,9,40.2
598040,Kolkata Knight Riders,1,136,7,46.6
501245,Chennai Super Kings,1,114,4,48.4
598032,Rajasthan Royals,2,146,2,77.6
501254,Kings XI Punjab,2,181,4,88.6
548357,Delhi Daredevils,1,153,9,46.8
548329,Delhi Daredevils,2,193,1,110.8
548366,Kings XI Punjab,2,194,6,86.4
419157,Mumbai Indians,1,191,4,94.6
501262,Pune Warriors,1,118,7,35.8
548312,Kolkata Knight Riders,2,142,10,35.2
598003,Kings XI Punjab,2,100,2,50.0
419165,Chennai Super Kings,1,168,5,75.8
501248,Kings XI Punjab,1,119,8,31.4
548342,Mumbai Indians,2,170,9,57.0
419142,Chennai Super Kings,1,165,4,79.0
548308,Mumbai Indians,2,101,9,15.6
501247,Royal Challengers Bangalore,2,128,1,71.8
598033,Royal Challengers Bangalore,2,136,7,46.6
501216,Deccan Chargers,1,168,4,80.8
548368,Chennai Super Kings,2,160,5,71.0
501202,Kings XI Punjab,1,112,8,27.2
548349,Rajasthan Royals,1,141,6,54.6
501255,Royal Challengers Bangalore,2,105,6,33.0
548343,Chennai Super Kings,2,149,8,49.4
419109,Royal Challengers Bangalore,1,135,7,46.0
501231,Mumbai Indians,1,94,8,16.4
419118,Kolkata Knight Riders,2,134,5,55.4
598049,Delhi Daredevils,1,154,4,72.4
598025,Pune Warriors,1,185,4,91.0
501230,Delhi Daredevils,2,131,9,33.6
